u,DY_B30uT,DY_B40uT,DY_B50uT,DY_B60uT,DY_B70uT
1.2688442211055277,0.0007074684289243294,0.001231406350841624,0.0018739530348933497,0.0026157642439902373,0.003436714493913917
1.2814070351758795,0.0007122403239289143,0.001239522085935918,0.0018859447857939582,0.0026319163159039816,0.003457066787876939
1.2939698492462313,0.0007169146256571501,0.0012474606639610863,0.0018976536359738283,0.0026476526374784592,0.0034768434805338977
1.306532663316583,0.0007214885720591147,0.0012552170287190023,0.001909071452523614,0.0026629611988105983,0.003496027917030964
1.3190954773869348,0.0007259595228972238,0.001262786335060273,0.0019201904238246303,0.0026778304420170818,0.003514604046895964
1.3316582914572865,0.0007303249601542383,0.001270163950054637,0.0019310030621121355,0.0026922492663471465,0.0035325564332606696
1.3442211055276383,0.0007345824879186891,0.0012773454531121997,0.001941502204547696,0.0027062070312636743,0.0035498702594368714
1.35678391959799,0.0007387298316147151,0.0012843266351068028,0.0019516810127868656,0.002719693557442171,0.0035665313329017456
1.3693467336683418,0.0007427648366664652,0.0012911034964894208,0.00196153297100099,0.0027326991257533573,0.003582526086668536
1.3819095477386936,0.0007466854665513223,0.0012976722443360789,0.0019710518824240797,0.002745214474184743,0.0035978415781010575
1.3944723618090453,0.0007504898002755889,0.001304029288472619,0.0019802318644277506,0.0027572307928090956,0.003612465485197447
1.407035175879397,0.0007541760292830713,0.0013101712365675144,0.001989067342133777,0.002768739716764723,0.003626386100414103
1.4195979899497488,0.0007577424537947852,0.0013160948883012002,0.001997553040641087,0.0027797333173906758,0.003639592322067342
1.4321608040201006,0.0007611874785843353,0.001321797228584276,0.002005683975884076,0.0027902040915004367,0.003652073643518605
1.4447236180904524,0.0007645096082682379,0.001327275419911178,0.002013455444184853,0.002800144948941874,0.0036638201401026915
1.4572864321608041,0.0007677074420469054,0.0013325267938656404,0.0020208630105883474,0.0028095491985284937,0.0036748224540076313
1.4698492462311559,0.0007707796679884416,0.0013375488417708414,0.0020279024959800607,0.0028184105323489916,0.003685071777254856
1.4824120603015076,0.0007737250568344844,0.0013423392046306715,0.0020345699631765246,0.002826723008733323,0.0036945598328530505
1.4949748743718594,0.0007765424553863864,0.0013468956623499118,0.0020408617019147535,0.0028344810338108983,0.003703278854350067
1.5075376884422111,0.0007792307794703968,0.0013512161222341001,0.0020467742129852695,0.002841679341920922,0.003711221563892031
1.520100502512563,0.0007817890065695554,0.001355298606966704,0.0020523041914671802,0.0028483129749363734,0.003718381149068084
1.5326633165829147,0.0007842161680509108,0.0013591412419932114,0.0020574485092562655,0.002854377260669727,0.0037247512385595316
1.5452261306532664,0.0007865113411272828,0.0013627422424211666,0.0020622041969194926,0.002859867790459103,0.0037303258769204595
1.5577889447236182,0.0007886736405385841,0.0013660998995183027,0.002066568425021287,0.002864780396179767,0.003735099498686667
1.57035175879397,0.0007907022099850058,0.0013692125668403055,0.0020705384849725172,0.002869111126682755,0.0037390669018834144
1.5829145728643217,0.0007925962133332742,0.0013720786460430512,0.002074111769604925,0.0028728562239864752,0.0037422232212996898
1.5954773869346734,0.0007943548257053346,0.00137469657254774,0.0020772857534573363,0.002876012099219616,0.0037445639016078225
1.6080402010050252,0.0007959772243697483,0.0013770648009584496,0.0020800579729925994,0.002878575308606579,0.0037460846706381945
1.620603015075377,0.0007974625796139945,0.0013791817904679204,0.0020824260067784373,0.0028805425295612697,0.003746781512920405
1.6331658291457287,0.0007988100454880964,0.0013810459902164895,0.0020843874558311715,0.0028819105371078457,0.003746650643796423
1.6457286432160805,0.0008000187505821099,0.0013826558247322929,0.0020859399241270893,0.0028826761807723145,0.0037456884842488325
1.6582914572864322,0.0008010877888131596,0.001384009679494036,0.002087080999509494,0.0028828363621219433,0.003743891636680763
1.670854271356784,0.0008020162102806427,0.0013851058867240251,0.0020878082350600513,0.0028823880130740553,0.0037412568618609976
1.6834170854271358,0.0008028030122125829,0.001385942711462529,0.0020881191310203606,0.002881328075217904,0.0037377810571911363
1.6959798994974875,0.0008034471301081592,0.0013865183380009638,0.002088011117463484,0.002879653480238553,0.003733461236580249
1.7085427135678393,0.0008039474290183479,0.001386830856787813,0.0020874815377688316,0.0028773611316231795,0.0037282945120051814
1.721105527638191,0.0008043026951236598,0.0013868782518613454,0.002086527633058499,0.0028744478878847124,0.003722278077098684
1.7336683417085428,0.0008045116275553488,0.0013866583888565431,0.0020851465277126335,0.002870910547320693,0.0037154091927815713
1.7462311557788945,0.000804572830604533,0.001386169003799953,0.002083335216109372,0.002866745834614326,0.00370768517527742
1.7587939698492463,0.0008044848062876975,0.0013854076926095305,0.00208109055065675,0.002861950389386525,0.003699103386561542
1.771356783919598,0.0008042459473680541,0.001384371901534398,0.002078409231323519,0.002856520756764125,0.0036896612275206797
1.7839195979899498,0.0008038545308910461,0.0013830589185589437,0.002075287796768799,0.002850453380321083,0.0036793561338430703
1.7964824120603016,0.0008033087122787386,0.0013814658658942713,0.0020717226171808045,0.002843744597332609,0.003668185575003702
1.8090452261306533,0.000802606520074578,0.001379589693631722,0.002067709888996183,0.0028363906366316582,0.003656147056226744
1.821608040201005,0.0008017458513206455,0.0013774271747073463,0.0020632456316393988,0.0028283876192192192,0.0036432381237968547
1.8341708542713568,0.0008007244677771252,0.0013749749012581525,0.002058325686383422,0.002819731561652161,0.003629456373718143
1.8467336683417086,0.0007995399929447977,0.0013722292824971394,0.002052945717494814,0.002810418382503177,0.0036147994638277003
1.8592964824120604,0.0007981899100117928,0.0013691865442111428,0.002047101215847169,0.002800443911938677,0.003599265129530238
1.8718592964824121,0.000796671560792106,0.001365842730012612,0.0020407875050655333,0.002789803904564292,0.003582851203238313
1.8844221105527639,0.0007949821457917672,0.001362193704485426,0.002033999750416071,0.002778494055680869,0.003565555637466078
1.8969849246231156,0.0007931187253985561,0.0013582351583275587,0.0020267329705042636,0.0027665100210493287,0.003547376531838786
1.9095477386934674,0.0007910782224156421,0.0013539626156400253,0.0020189820520334356,0.002753847440280066,0.0035283121638582937
1.9221105527638191,0.0007888574259018455,0.0013493714434608117,0.0020107417676175077,0.002740501963929387,0.003508361023585649
1.934673366834171,0.0007864529965276867,0.0013444568637547283,0.002002006796934741,0.0027264692844019,0.003487521852123421
1.9472361809045227,0.0007838614734997362,0.001339213967887276,0.0019927717511744047,0.0027117451707124873,0.0034657936839733727
1.9597989949748744,0.0007810792831667301,0.0013336377337992422,0.0019830312010183926,0.002696325507147157,0.003443175893124595
1.9723618090452262,0.000778102749411258,0.001327723045935869,0.0019727797082234044,0.0026802063358420947,0.003419668242846896
1.984924623115578,0.0007749281059342694,0.001321464718143761,0.001962011860843771,0.002663383903342642,0.0033952709390214775
1.9974874371859297,0.0007715515105457538,0.0013148575195280898,0.001950722312208275,0.002645854710965345,0.0033699846869337247
2.0100502512562817,0.0007679690615175483,0.001307896203454617,0.0019389058236553014,0.002627615569088193,0.0033438107512474557
2.022613065326633,0.0007641768161572582,0.0013005755397570429,0.0019265573111479917,0.0026086636551473363,0.0033167510189981986
2.035175879396985,0.0007601708116016237,0.0012928903501879807,0.001913671895531266,0.002588996575214386,0.0032888080653556973
2.0477386934673367,0.0007559470879973107,0.0012848355472115935,0.0019002449566718482,0.002568612429034167,0.0032599852217544134
2.0603015075376887,0.0007515017140293789,0.0012764061760669465,0.00188627219116555,0.0025475098782901107,0.003230286646148328
