theta_deg,B0.5mT_on,B1.0mT_on,B1.5mT_on,B1.8mT_on,B2.0mT_on,B2.5mT_on,B3.0mT_on,B0.5mT_off,B1.0mT_off,B1.5mT_off,B1.8mT_off,B2.0mT_off,B2.5mT_off,B3.0mT_off
73.0,0.9703240322914157,0.9713314068449631,0.9763231432103863,0.9796197833288555,0.9819120305699648,0.986130625648757,0.9889002684816247,0.9999999999998682,0.9999999999986037,0.9999999999998996,0.9999999999999469,0.9999999999999635,0.9999999999999821,0.9999999999999837
74.0,0.9702053620168066,0.9714623720081813,0.9765511276597104,0.9798659002980664,0.9821690377952044,0.986410583103121,0.9891999720993647,0.9999999999998678,0.9999999999985928,0.9999999999998993,0.9999999999999484,0.9999999999999625,0.9999999999999827,0.9999999999999873
75.0,0.9700889504117683,0.9715809258567623,0.9767717370888627,0.9801067290635133,0.9824218098943742,0.9866875250395573,0.9894969910484771,0.9999999999998708,0.9999999999985819,0.9999999999998981,0.9999999999999498,0.9999999999999636,0.9999999999999805,0.999999999999985
76.0,0.9699758105052833,0.9716870591851857,0.97698351836451,0.9803405442172026,0.9826684985715766,0.986959448678962,0.9897892488502135,0.9999999999998694,0.9999999999985678,0.9999999999998977,0.9999999999999489,0.9999999999999626,0.9999999999999787,0.9999999999999868
77.0,0.9698668707168806,0.9717809785347058,0.9771851215997257,0.9805656620064763,0.9829072605542886,0.9872242963134723,0.9900745772507289,0.999999999999868,0.9999999999985542,0.9999999999998951,0.9999999999999496,0.9999999999999656,0.9999999999999815,0.9999999999999857
78.0,0.9697629741657928,0.9718630896554602,0.9773753218170054,0.9807804666726937,0.983136285321755,0.9874799829966415,0.9903507428657912,0.9999999999998662,0.9999999999985443,0.999999999999895,0.999999999999948,0.999999999999963,0.9999999999999812,0.9999999999999879
79.0,0.9696648797235825,0.9719339738152328,0.977553035660805,0.9809834347226492,0.9833538223365187,0.987724426507534,0.9906154777735635,0.9999999999998667,0.9999999999985354,0.9999999999998963,0.9999999999999484,0.9999999999999645,0.9999999999999823,0.9999999999999898
80.0,0.9695732644616408,0.971994358072297,0.977717332237605,0.9811731558752198,0.9835582065142463,0.9879555786486054,0.9908665132629978,0.9999999999998654,0.9999999999985271,0.9999999999998959,0.9999999999999486,0.9999999999999656,0.9999999999999787,0.999999999999989
81.0,0.9694887270258581,0.9720450809048696,0.9778674373921353,0.9813483495514431,0.9837478809530612,0.9881714567563346,0.9911016158621921,0.9999999999998672,0.9999999999985189,0.9999999999998948,0.9999999999999498,0.9999999999999651,0.9999999999999817,0.9999999999999869
82.0,0.9694117915811621,0.9720870547658524,0.9780027311838521,0.9815078762428373,0.9839214159425926,0.9883701741817947,0.9913186244149186,0.9999999999998639,0.9999999999985094,0.9999999999998951,0.9999999999999499,0.9999999999999676,0.9999999999999832,0.9999999999999905
83.0,0.9693429121163923,0.9721212271781864,0.9781227388855056,0.9816507434418172,0.9840775235955992,0.9885499690513565,0.9915154872877973,0.9999999999998653,0.9999999999985052,0.9999999999998941,0.9999999999999476,0.9999999999999635,0.9999999999999807,0.9999999999999885
84.0,0.9692824768533047,0.9721485419301847,0.9782271162956386,0.98177610622459,0.9842150678619027,0.9887092302566809,0.9916902985401965,0.9999999999998654,0.9999999999984996,0.9999999999998912,0.9999999999999493,0.999999999999964,0.9999999999999791,0.9999999999999886
85.0,0.9692308124895176,0.9721699018015582,0.9783156305956089,0.9818832630692486,0.9843330700673223,0.9888465201403009,0.9918413317797817,0.9999999999998657,0.9999999999984945,0.9999999999998958,0.9999999999999504,0.9999999999999669,0.9999999999999828,0.9999999999999891
